embedding,labeled,entropy,random
CodeBERT,50,0.442,0.442
CodeBERT,100,0.488,0.588
CodeBERT,250,0.506,0.755
CodeBERT,500,0.543,0.885
CodeT5,50,0.504,0.504
CodeT5,100,0.513,0.648
CodeT5,250,0.534,0.798
CodeT5,500,0.582,0.911
GraphCodeBERT,50,0.307,0.307
GraphCodeBERT,100,0.516,0.471
GraphCodeBERT,250,0.778,0.666
GraphCodeBERT,500,0.959,0.841
InCoder,50,0.648,0.648
InCoder,100,0.696,0.762
InCoder,250,0.717,0.874
InCoder,500,0.756,0.943
UniXcoder,50,0.289,0.289
UniXcoder,100,0.472,0.455
UniXcoder,250,0.719,0.652
UniXcoder,500,0.953,0.834
