language,func,embedding,strategy,labeled,accuracy,ari,nmi,f1,recall
java,label_propagation,CodeBERT,random,50,0.498557196839574,0.2584208673812485,0.3864183148293525,0.5013305066698047,0.4971709894602805
java,label_propagation,CodeBERT,random,100,0.6550669872895913,0.4161862828820467,0.5273337010749468,0.6557227268883636,0.6589517192816979
java,label_propagation,CodeBERT,random,250,0.7952250085881141,0.6141157370593355,0.6785183335089015,0.7918340582996484,0.7918443122088051
java,label_propagation,CodeBERT,random,500,0.9076949501889384,0.8174539603104541,0.8329587132665232,0.9010048938256074,0.9018082306502428
java,label_propagation,CodeBERT,entropy,50,0.498557196839574,0.2584208673812485,0.3864183148293525,0.5013305066698047,0.4971709894602805
java,label_propagation,CodeBERT,entropy,100,0.5562006183442116,0.3120815858724289,0.4374379703582057,0.5571016407240345,0.5545011344501243
java,label_propagation,CodeBERT,entropy,250,0.5847131569907248,0.3401219843069632,0.4545000687480069,0.5787967448251823,0.582127968997068
java,label_propagation,CodeBERT,entropy,500,0.6269323256612848,0.3865858579984005,0.4976031109455922,0.6208247248806341,0.6238283259190066
java,label_propagation,CodeBERT,uniform,50,0.498557196839574,0.2584208673812485,0.3864183148293525,0.5013305066698047,0.4971709894602805
java,label_propagation,CodeBERT,uniform,100,0.5998625901751975,0.3495042489991395,0.466372409182743,0.5946142194796653,0.5973295324397354
java,label_propagation,CodeBERT,uniform,250,0.6723462727585022,0.4371831834125121,0.5540097495287375,0.6679910032821065,0.6710926322321868
java,label_propagation,CodeBERT,uniform,500,0.7682926829268293,0.5771460076017323,0.6727439506008777,0.7607496986289924,0.7665795633927719
java,label_propagation,CodeBERT,random_then_entropy_1,50,0.498557196839574,0.2584208673812485,0.3864183148293525,0.5013305066698047,0.4971709894602805
java,label_propagation,CodeBERT,random_then_entropy_1,100,0.6550669872895913,0.4161862828820467,0.5273337010749468,0.6557227268883636,0.6589517192816979
java,label_propagation,CodeBERT,random_then_entropy_1,250,0.7237031947784267,0.5082803022532797,0.5998525510779458,0.7187678180550479,0.7282119583054065
java,label_propagation,CodeBERT,random_then_entropy_1,500,0.8214015802129853,0.6615863898029682,0.7351183158776073,0.8166560955759501,0.8237687924902477
java,label_propagation,CodeBERT,random_then_entropy_2,50,0.498557196839574,0.2584208673812485,0.3864183148293525,0.5013305066698047,0.4971709894602805
java,label_propagation,CodeBERT,random_then_entropy_2,100,0.6550669872895913,0.4161862828820467,0.5273337010749468,0.6557227268883636,0.6589517192816979
java,label_propagation,CodeBERT,random_then_entropy_2,250,0.7952250085881141,0.6141157370593355,0.6785183335089015,0.7918340582996484,0.7918443122088051
java,label_propagation,CodeBERT,random_then_entropy_2,500,0.891721058055651,0.7925902580329973,0.8231930637063885,0.8838502439046076,0.8885834936609488
